,Alcaldia,Colonia,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Cocina_equip,Gimnasio,Amueblado,Alberca,Terraza,Elevador,m2_construido,Baños,Recamaras,Lugares_estac,Precio_m2,Cluster Labels
0,La Magdalena Contreras,San Jerónimo Líndice,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,1,0,0,1,1,150.0,2.0,3,2,6500.0,1
1,Tlahuac,Xochicalli ,1.5369133370590906,4.495493390170908,46.562120556944535,20.048451080960913,26.77807249112364,5.03562367356091,0.9576746816763637,0.09628856495090908,9.610346519340002,52.74994473300999,1,0,0,0,0,0,51.0,1.0,2,1,1200.0,2
2,Cuajimalpa,Bosques de las Lomas,1.5509086489586208,5.75837650877931,44.360118918031034,18.897734095034483,24.415937583965526,4.172703474348276,0.42864960056551726,0.0611512952,6.675828043813794,39.64775501000345,1,1,0,0,1,1,305.0,3.0,3,3,17500.0,3
3,Tlahuac,La Turba,1.5369133370590906,4.495493390170908,46.562120556944535,20.048451080960913,26.77807249112364,5.03562367356091,0.9576746816763637,0.09628856495090908,9.610346519340002,52.74994473300999,0,0,0,0,0,0,42.0,1.0,2,1,1046.4,2
4,Tlahuac,Miguel Hidalgo ,1.5369133370590906,4.495493390170908,46.562120556944535,20.048451080960913,26.77807249112364,5.03562367356091,0.9576746816763637,0.09628856495090908,9.610346519340002,52.74994473300999,0,0,0,0,0,0,50.0,1.0,2,1,1195.0,2
5,Tlahuac,Los Olivos ,1.5369133370590906,4.495493390170908,46.562120556944535,20.048451080960913,26.77807249112364,5.03562367356091,0.9576746816763637,0.09628856495090908,9.610346519340002,52.74994473300999,0,0,0,0,0,0,80.0,1.0,2,1,387.66,2
6,Miguel Hidalgo,Polanco,0.611027408779167,5.569241583823338,35.542918195636666,10.499484300919168,18.45722733647667,1.0584627289141664,0.06849059075083332,0.026193903617499997,4.497140149960834,20.12386775763833,1,1,0,0,1,1,163.0,2.0,3,2,12738.0,3
7,Alvaro Obregon,Jardines del Pedregal,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,1,0,0,1,1,144.0,2.5,3,2,7150.0,1
8,Xochimilco,Santiago Tepalcatlalpan,2.300547233570248,4.569400517145453,46.68436209892728,21.30116500446859,32.138410534628115,6.805506663228928,10.209770899563635,0.17242271640826443,8.252036122542153,50.0551627865661,1,0,0,0,0,0,50.0,1.0,2,1,2950.0,1
9,Venustiano Carranza,Moctezuma 2a Sección,1.0243727415289656,6.374009689507589,43.62497336852347,16.351225040853794,28.24529055291861,2.2800922644951735,0.055234173223448285,0.0358046200475862,8.154876924755861,39.083659426476544,1,0,0,0,0,0,64.0,1.0,2,0,950.0,2
10,Xochimilco,Mártires de Rio Blanco,2.300547233570248,4.569400517145453,46.68436209892728,21.30116500446859,32.138410534628115,6.805506663228928,10.209770899563635,0.17242271640826443,8.252036122542153,50.0551627865661,1,0,0,0,1,0,87.0,1.0,3,1,1890.0,2
11,Gustavo A. Madero,Guadalupe Tepeyac,1.3998376783657802,4.9853922078770765,40.21470854549038,18.205064767591015,25.421478191519945,2.9238671388777426,0.295210496049834,0.04885657138936877,9.532578887003654,43.859107736134256,1,0,0,0,0,0,83.0,1.0,3,0,622.45,2
12,Gustavo A. Madero,Lindavista Sur,1.3998376783657802,4.9853922078770765,40.21470854549038,18.205064767591015,25.421478191519945,2.9238671388777426,0.295210496049834,0.04885657138936877,9.532578887003654,43.859107736134256,1,0,0,0,1,0,85.0,1.0,3,1,680.0,2
13,Iztapalapa,Lomas Estrella,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,0,1,0,0,0,70.0,1.0,2,1,1849.0,2
